label,a,b
#1,5.8333333333333373e-05,0.006583333333333328
#2,0.00023095238095238106,0.03691666666666664
#3,0.0006809523809523813,0.12916666666666662
#4,0.0013464285714285737,0.33399999999999974
#5,0.0011023809523809567,0.6124166666666663
#6,0.0018166666666666678,0.7194166666666664
