Migration degree to Molecular weight,Molecular weight (kDa),Migration degree (cm),kouzou/gel-2
,250,150,100,75,50,37,25,20,15,10
,0.8,1.0,1.3,1.6,2.3,2.9,3.8,4.2,5.0,5.65
